title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,pages
Perubahan POJK tentang Penilaian Kualitas Aset Bank Umum Syariah dan Unit Usaha Syariah,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-POJK-tentang-Penilaian-Kualitas-Aset-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Perbankan,Perbankan Syariah,Peraturan OJK,19/POJK.03/2018,20 September 2018,Perubahan-POJK-tentang-Penilaian-Kualitas-Aset-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah -- pojk 19-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-POJK-tentang-Penilaian-Kualitas-Aset-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah/pojk%2019-2018.pdf,ojk-peraturan_ojk-19_pojk_03_2018-20092018-perubahan_pojk_tentang_penilaian_kualitas_aset_bank_umum_syariah_dan_unit_usaha_syariah.pdf,20
Layanan Pengaduan Konsumen di Sektor Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Layanan-Pengaduan-Konsumen-di-Sektor-Jasa-Keuangan.aspx,EPK,Peraturan Lainnya,Peraturan OJK,18/POJK.07/2018,10 September 2018,Layanan-Pengaduan-Konsumen-di-Sektor-Jasa-Keuangan -- POJK 18-2018 (1).pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Layanan-Pengaduan-Konsumen-di-Sektor-Jasa-Keuangan/POJK%2018-2018%20(1).pdf,ojk-peraturan_ojk-18_pojk_07_2018-10092018-layanan_pengaduan_konsumen_di_sektor_jasa_keuangan.pdf,35
Perubahan atas POJK Nomor 6/POJK.03/2016 tentang Kegiatan Usaha dan Jaringan Kantor Berdasarkan Modal Inti Bank,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-POJK-Nomor-6-POJK.03-2016-tentang-Kegiatan-Usaha-dan-Jaringan-Kantor-Berdasarkan-Modal-Inti-Bank.aspx,Perbankan,Bank Umum,Peraturan OJK,17/POJK.03/2018,16 Agustus 2018,Perubahan-POJK-Nomor-6-POJK.03-2016-tentang-Kegiatan-Usaha-dan-Jaringan-Kantor-Berdasarkan-Modal-Inti-Bank -- POJK 17-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-POJK-Nomor-6-POJK.03-2016-tentang-Kegiatan-Usaha-dan-Jaringan-Kantor-Berdasarkan-Modal-Inti-Bank/POJK%2017-2018.pdf,ojk-peraturan_ojk-17_pojk_03_2018-16082018-perubahan_atas_pojk_nomor_6_pojk_03_2016_tentang_kegiatan_usaha_dan_jaringan_kantor_berdasarkan_modal_inti_bank.pdf,9
Perubahan POJK Nomor 44/POJK.03/2017 tentang Pembatasan Pemberian Kredit atau Pembiayaan oleh Bank Umum untuk Pengadaan Tanah dan/atau Pengolahan Tanah,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-POJK-Pembatasan-Pemberian-Kredit-Pembiayaan-oleh-Bank-Umum-untuk-Pengadaan-Tanah-dan-atau-Pengolahan-Tanah.aspx,Perbankan,Bank Umum,Peraturan OJK,16/POJK.03/2018,16 Agustus 2018,Perubahan-POJK-Pembatasan-Pemberian-Kredit-Pembiayaan-oleh-Bank-Umum-untuk-Pengadaan-Tanah-dan-atau-Pengolahan-Tanah -- POJK 16-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-POJK-Pembatasan-Pemberian-Kredit-Pembiayaan-oleh-Bank-Umum-untuk-Pengadaan-Tanah-dan-atau-Pengolahan-Tanah/POJK%2016-2018.pdf,ojk-peraturan_ojk-16_pojk_03_2018-16082018-perubahan_pojk_nomor_44_pojk_03_2017_tentang_pembatasan_pemberian_kredit_atau_pembiayaan_oleh_bank_umum_untuk_pengadaan_tanah_dan_atau_pengolahan_tanah.pdf,7
Batas Maksimum Pemberian Kredit atau Batas Maksimum Penyaluran Dana Bank untuk Mendorong Pertumbuhan Sektor Pariwisata dan Peningkatan Devisa,https://www.ojk.go.id/id/regulasi/Pages/Batas-Maksimum-Pemberian-Kredit-Penyaluran-Dana-Bank-untuk-Mendorong-Pertumbuhan-Sektor-Pariwisata-dan-Peningkatan-Devisa.aspx,Perbankan,Bank Umum,Peraturan OJK,15/POJK.03/2018,16 Agustus 2018,Batas-Maksimum-Pemberian-Kredit-Penyaluran-Dana-Bank-untuk-Mendorong-Pertumbuhan-Sektor-Pariwisata-dan-Peningkatan-Devisa -- POJK 15-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Batas-Maksimum-Pemberian-Kredit-Penyaluran-Dana-Bank-untuk-Mendorong-Pertumbuhan-Sektor-Pariwisata-dan-Peningkatan-Devisa/POJK%2015-2018.pdf,ojk-peraturan_ojk-15_pojk_03_2018-16082018-batas_maksimum_pemberian_kredit_atau_batas_maksimum_penyaluran_dana_bank_untuk_mendorong_pertumbuhan_sektor_pariwisata_dan_peningkatan_devisa.pdf,11
Penilaian Kualitas Aset Bank Umum untuk Mendorong Pertumbuhan Sektor Perumahan dan Peningkatan Devisa,https://www.ojk.go.id/id/regulasi/Pages/Penilaian-Kualitas-Aset-Bank-Umum-untuk-Mendorong-Pertumbuhan-Sektor-Perumahan-dan-Peningkatan-Devisa.aspx,Perbankan,Bank Umum,Peraturan OJK,14/POJK.03/2018,16 Agustus 2018,Penilaian-Kualitas-Aset-Bank-Umum-untuk-Mendorong-Pertumbuhan-Sektor-Perumahan-dan-Peningkatan-Devisa -- POJK 14 - 03 - 2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penilaian-Kualitas-Aset-Bank-Umum-untuk-Mendorong-Pertumbuhan-Sektor-Perumahan-dan-Peningkatan-Devisa/POJK%2014%20-%2003%20-%202018.pdf,ojk-peraturan_ojk-14_pojk_03_2018-16082018-penilaian_kualitas_aset_bank_umum_untuk_mendorong_pertumbuhan_sektor_perumahan_dan_peningkatan_devisa.pdf,16
Inovasi Keuangan Digital di Sektor Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Inovasi-Keuangan-Digital-di-Sektor-Jasa-Keuangan.aspx,IKNB,"Lembaga Keuangan Mikro,  Peraturan Lainnya",Peraturan OJK,13/POJK.02/2018,16 Agustus 2018,Inovasi-Keuangan-Digital-di-Sektor-Jasa-Keuangan -- pojk 13-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Inovasi-Keuangan-Digital-di-Sektor-Jasa-Keuangan/pojk%2013-2018.pdf,ojk-peraturan_ojk-13_pojk_02_2018-16082018-inovasi_keuangan_digital_di_sektor_jasa_keuangan.pdf,38
Penyelenggaraan Layanan Perbankan Digital oleh Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/Penyelenggaraan-Layanan-Perbankan-Digital-oleh-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,12/POJK.03/2018,8 Agustus 2018,Penyelenggaraan-Layanan-Perbankan-Digital-oleh-Bank-Umum -- POJK 12-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penyelenggaraan-Layanan-Perbankan-Digital-oleh-Bank-Umum/POJK%2012-2018.pdf,ojk-peraturan_ojk-12_pojk_03_2018-08082018-penyelenggaraan_layanan_perbankan_digital_oleh_bank_umum.pdf,55
Penawaran Umum Efek Bersifat Utang dan/atau Sukuk kepada Pemodal Profesional,https://www.ojk.go.id/id/regulasi/Pages/Penawaran-Umum-Efek-Bersifat-Utang-dan-atau-Sukuk-kepada-Pemodal-Profesional.aspx,Pasar Modal,"Bursa Efek,  Perusahaan Efek,  Wakil Perusahaan Efek",Peraturan OJK,11/POJK.04/2018,1 Agustus 2018,Penawaran-Umum-Efek-Bersifat-Utang-dan-atau-Sukuk-kepada-Pemodal-Profesional -- pojk 11-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penawaran-Umum-Efek-Bersifat-Utang-dan-atau-Sukuk-kepada-Pemodal-Profesional/pojk%2011-2018.pdf,ojk-peraturan_ojk-11_pojk_04_2018-01082018-penawaran_umum_efek_bersifat_utang_dan_atau_sukuk_kepada_pemodal_profesional.pdf,34
Penerapan Tata Kelola Manajer Investasi,https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Tata-Kelola-Manajer-Investasi.aspx,Pasar Modal,Penasehat Investasi,Peraturan OJK,10/POJK.04/2018,1 Agustus 2018,Penerapan-Tata-Kelola-Manajer-Investasi -- pojk 10-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Tata-Kelola-Manajer-Investasi/pojk%2010-2018.pdf,ojk-peraturan_ojk-10_pojk_04_2018-01082018-penerapan_tata_kelola_manajer_investasi.pdf,59
Pengambilalihan Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/Pengambilalihan-Perusahaan-Terbuka.aspx,Pasar Modal,Emiten dan Perusahaan Publik,Peraturan OJK,9/POJK.04/2018,27 Juli 2018,Pengambilalihan-Perusahaan-Terbuka -- pojk 9-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pengambilalihan-Perusahaan-Terbuka/pojk%209-2018.pdf,ojk-peraturan_ojk-9_pojk_04_2018-27072018-pengambilalihan_perusahaan_terbuka.pdf,43
Pendanaan Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Pendanaan-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Peraturan OJK,8/POJK.05/2018,31 Mei 2018,Pendanaan-Dana-Pensiun -- pojk 8-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendanaan-Dana-Pensiun/pojk%208-2018.pdf,ojk-peraturan_ojk-8_pojk_05_2018-31052018-pendanaan_dana_pensiun.pdf,72
